,pf_true,pf_pred,risk_true,risk_pred
0,1.0,1.0,592.5,607.0999999999999
1,1.0,1.0,592.5,607.0999999999999
2,0.0,0.0,0.0,0.0
3,0.043,0.068,874.4186046511629,791.1764705882354
4,0.013,0.013,900.0,907.6923076923076
5,0.0,0.0,0.0,0.0
6,0.138,0.126,621.0144927536232,680.952380952381
7,0.0,0.013,0.0,484.61538461538464
8,0.0,0.0,0.0,0.0
9,0.002,0.004,950.0,800.0
10,0.234,0.232,819.6581196581196,797.844827586207
11,0.058,0.06,900.0,833.3333333333333
12,0.365,0.366,714.5205479452055,698.9071038251366
13,0.077,0.118,832.4675324675325,661.0169491525423
14,0.06,0.05,898.3333333333333,868.0
15,0.796,0.88,625.0,600.909090909091
16,0.689,0.769,643.8316400580551,615.6046814044214
17,0.011,0.012,681.8181818181818,683.3333333333333
18,0.798,0.843,666.0401002506267,642.9418742586003
19,0.641,0.517,699.3759750390016,691.1025145067699
